schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,Wikidata Constraints on MARS (Extended Technical Report),"['David L. Martin', 'Peter F. Patel-Schneider']",http://arxiv.org/abs/2008.03900v2,N/A,0,2020-08-10T04:49:02Z
1.0,RESEARCH_PAPER,Purely Bayesian counterfactuals versus Newcomb's paradox,['Lê Nguyên Hoang'],http://arxiv.org/abs/2008.04256v1,N/A,0,2020-08-10T16:56:48Z
1.0,RESEARCH_PAPER,Fault-Tolerant Control of Degrading Systems with On-Policy Reinforcement Learning,"['Ibrahim Ahmed', 'Marcos Quiñones-Grueiro', 'Gautam Biswas']",http://arxiv.org/abs/2008.04407v1,N/A,0,2020-08-10T20:42:59Z
1.0,RESEARCH_PAPER,SMT-based Safety Verification of Parameterised Multi-Agent Systems,"['Paolo Felli', 'Alessandro Gianola', 'Marco Montali']",http://arxiv.org/abs/2008.04774v2,N/A,0,2020-08-11T15:24:05Z
1.0,RESEARCH_PAPER,Learning abstract structure for drawing by efficient motor program induction,"['Lucas Y. Tian', 'Kevin Ellis', 'Marta Kryven', 'Joshua B. Tenenbaum']",http://arxiv.org/abs/2008.03519v1,N/A,0,2020-08-08T13:31:14Z
1.0,RESEARCH_PAPER,Distributed Deep Reinforcement Learning for Functional Split Control in Energy Harvesting Virtualized Small Cells,"['Dagnachew Azene Temesgene', 'Marco Miozzo', 'Deniz Gündüz', 'Paolo Dini']",http://arxiv.org/abs/2008.04105v1,N/A,0,2020-08-07T12:27:01Z
1.0,RESEARCH_PAPER,Proof-Carrying Plans: a Resource Logic for AI Planning,"['Alasdair Hill', 'Ekaterina Komendantskaya', 'Ronald P. A. Petrick']",http://arxiv.org/abs/2008.04165v2,N/A,0,2020-08-10T14:45:52Z
1.0,RESEARCH_PAPER,Risk-Sensitive Markov Decision Processes with Combined Metrics of Mean and Variance,['Li Xia'],http://arxiv.org/abs/2008.03707v1,N/A,0,2020-08-09T10:35:35Z
1.0,RESEARCH_PAPER,Neural Manipulation Planning on Constraint Manifolds,"['Ahmed H. Qureshi', 'Jiangeng Dong', 'Austin Choe', 'Michael C. Yip']",http://arxiv.org/abs/2008.03787v1,N/A,0,2020-08-09T18:58:10Z
1.0,RESEARCH_PAPER,Metaheuristics for the operating theater planning and scheduling: A systematic review,"['Amirhossein Moosavi', 'Onur Ozturk']",http://arxiv.org/abs/2008.04970v1,N/A,0,2020-08-11T19:13:31Z
1.0,RESEARCH_PAPER,"Sistema experto para el diagnóstico de enfermedades y plagas en los cultivos del arroz, tabaco, tomate, pimiento, maíz, pepino y frijol","['Ing. Yosvany Medina Carbó', 'MSc. Iracely Milagros Santana Ges', 'Lic. Saily Leo González']",http://arxiv.org/abs/2007.11038v1,N/A,0,2020-07-21T18:39:37Z
1.0,RESEARCH_PAPER,Transfer Deep Reinforcement Learning-enabled Energy Management Strategy for Hybrid Tracked Vehicle,"['Xiaowei Guo', 'Teng Liu', 'Bangbei Tang', 'Xiaolin Tang', 'Jinwei Zhang', 'Wenhao Tan', 'Shufeng Jin']",http://arxiv.org/abs/2007.08690v1,N/A,0,2020-07-16T23:39:34Z
